size,seen,unseen,proportion
3,1,2,0.3333333333333333
4,2,2,0.5
5,2,3,0.4
6,3,3,0.5
7,3,4,0.42857142857142855
8,2,6,0.25
9,4,5,0.4444444444444444
10,6,4,0.6
11,4,7,0.36363636363636365
12,3,9,0.25
13,4,9,0.3076923076923077
14,6,8,0.42857142857142855
15,3,12,0.2
16,6,10,0.375
17,6,11,0.35294117647058826
18,4,14,0.2222222222222222
19,7,12,0.3684210526315789
20,7,13,0.35
21,8,13,0.38095238095238093
22,9,13,0.4090909090909091
23,4,19,0.17391304347826086
24,5,19,0.20833333333333334
25,7,18,0.28
26,4,22,0.15384615384615385
27,14,13,0.5185185185185185
28,6,22,0.21428571428571427
29,9,20,0.3103448275862069
30,6,24,0.2
31,5,26,0.16129032258064516
32,11,21,0.34375
33,10,23,0.30303030303030304
34,10,24,0.29411764705882354
35,12,23,0.34285714285714286
36,5,31,0.1388888888888889
37,11,26,0.2972972972972973
38,12,26,0.3157894736842105
39,5,34,0.1282051282051282
40,11,29,0.275
41,6,35,0.14634146341463414
42,8,34,0.19047619047619047
43,13,30,0.3023255813953488
44,9,35,0.20454545454545456
45,8,37,0.17777777777777778
46,12,34,0.2608695652173913
47,14,33,0.2978723404255319
48,6,42,0.125
49,7,42,0.14285714285714285
50,10,40,0.2
51,10,41,0.19607843137254902
52,9,43,0.17307692307692307
53,6,47,0.11320754716981132
54,14,40,0.25925925925925924
55,17,38,0.3090909090909091
56,6,50,0.10714285714285714
57,12,45,0.21052631578947367
58,21,37,0.3620689655172414
59,8,51,0.13559322033898305
60,7,53,0.11666666666666667
61,17,44,0.2786885245901639
62,9,53,0.14516129032258066
63,15,48,0.23809523809523808
64,11,53,0.171875
65,11,54,0.16923076923076924
66,10,56,0.15151515151515152
67,7,60,0.1044776119402985
68,11,57,0.16176470588235295
69,12,57,0.17391304347826086
70,12,58,0.17142857142857143
71,9,62,0.1267605633802817
72,7,65,0.09722222222222222
73,16,57,0.2191780821917808
74,25,49,0.33783783783783783
75,7,68,0.09333333333333334
76,12,64,0.15789473684210525
77,19,58,0.24675324675324675
78,11,67,0.14102564102564102
79,10,69,0.12658227848101267
80,13,67,0.1625
81,16,65,0.19753086419753085
82,21,61,0.25609756097560976
83,8,75,0.0963855421686747
84,13,71,0.15476190476190477
85,15,70,0.17647058823529413
86,16,70,0.18604651162790697
87,16,71,0.1839080459770115
88,9,79,0.10227272727272728
89,23,66,0.25842696629213485
90,8,82,0.08888888888888889
91,15,76,0.16483516483516483
92,13,79,0.14130434782608695
93,13,80,0.13978494623655913
94,15,79,0.1595744680851064
95,8,87,0.08421052631578947
96,11,85,0.11458333333333333
97,11,86,0.1134020618556701
98,8,90,0.08163265306122448
99,21,78,0.21212121212121213
100,14,86,0.14
101,9,92,0.0891089108910891
102,10,92,0.09803921568627451
103,16,87,0.1553398058252427
104,25,79,0.2403846153846154
105,12,93,0.11428571428571428
106,14,92,0.1320754716981132
107,27,80,0.2523364485981308
108,18,90,0.16666666666666666
109,12,97,0.11009174311926606
110,17,93,0.15454545454545454
111,29,82,0.26126126126126126
112,9,103,0.08035714285714286
113,29,84,0.25663716814159293
114,12,102,0.10526315789473684
115,17,98,0.14782608695652175
116,24,92,0.20689655172413793
117,18,99,0.15384615384615385
118,12,106,0.1016949152542373
119,9,110,0.07563025210084033
120,11,109,0.09166666666666666
121,13,108,0.10743801652892562
122,24,98,0.19672131147540983
123,24,99,0.1951219512195122
124,9,115,0.07258064516129033
125,21,104,0.168
126,15,111,0.11904761904761904
127,9,118,0.07086614173228346
128,18,110,0.140625
129,19,110,0.14728682170542637
130,25,105,0.19230769230769232
131,14,117,0.10687022900763359
132,10,122,0.07575757575757576
133,16,117,0.12030075187969924
134,26,108,0.19402985074626866
135,14,121,0.1037037037037037
136,18,118,0.1323529411764706
137,24,113,0.17518248175182483
138,12,126,0.08695652173913043
139,11,128,0.07913669064748201
140,16,124,0.11428571428571428
141,16,125,0.11347517730496454
142,20,122,0.14084507042253522
143,10,133,0.06993006993006994
144,20,124,0.1388888888888889
145,16,129,0.1103448275862069
146,16,130,0.1095890410958904
147,28,119,0.19047619047619047
